12002-61-8;Ac2O3;Ac₂O₃;actinium(III) oxide;оксид актиния (III)
10026-10-5;UCl4;UCl₄;uranium tetrachloride;тетрахлорид урана
12033-83-9;UN;UN;uranium nitride;нитрид урана
1344-57-6;UO2;UO₂;uranium dioxide;диоксид урана
541-09-3;UO2(CH3COO)2;UO₂(CH₃COO)₂;uranyl acetate;уранилацетат
7791-26-6;UO2Cl2;UO₂Cl₂;uranyl chloride;хлорид уранила
16984-59-1;UO2(HCOO)2;UO₂(HCOO)₂;uranyl formate;формиат уранила
10102-06-4;UO2(NO3)2;UO₂(NO₃)₂;uranyl nitrate;нитрат уранила
1344-58-7;UO3;UO₃;uranium trioxide;триоксид урана
1344-59-8;U3O8;U₃O₈;triuranium octoxide;закись-окись урана
12138-21-5;USe2;USe₂;uranium diselenide;диселенид урана
12039-14-4;US2;US₂;uranium sulfide;сульфид урана
12138-37-3;UTe2;UTe₂;uranium ditelluride;дителлурид урана
13470-26-3;VBr3;VBr₃;vanadium(III) bromide;бромид ванадия (III)
10580-52-6;VCl2;VCl₂;vanadium(II) chloride;хлорид ванадия (II)
7718-98-1;VCl3;VCl₃;vanadium(III) chloride;хлорид ванадия (III)
15513-94-7;VI3;VI₃;vanadium(III) iodide;йодид ванадия (III)
24646-85-3;VN;VN;vanadium nitride;нитрид ванадия
27774-13-6;VOSO4;VOSO₄;vanadium oxysulfate;оксисульфат ванадия
1314-34-7;V2O3;V₂O₃;vanadium(III) oxide;оксид ванадия (III)
1314-62-1;V2O5;V₂O₅;vanadium pentoxide;пятиокись ванадия
13470-10-5;WBr2;WBr₂;tungsten(II) bromide;бромид вольфрама(II)
15163-24-3;WBr3;WBr₃;tungsten(III) bromide;бромид вольфрама (III)
14055-81-3;WBr4;WBr₄;tungsten(IV) bromide;бромид вольфрама(IV)
13470-11-6;WBr5;WBr₅;tungsten(V) bromide;бромид вольфрама(V)
13701-86-5;WBr6;WBr₆;tungsten(VI) bromide;бромид вольфрама(VI)
14040-11-0;W(CO)6;W(CO)₆;tungsten(VI) carbonyl;карбонил вольфрама(VI)
13470-12-7;WCl2;WCl₂;tungsten(II) chloride;хлорид вольфрама (II)
20193-56-0;WCl3;WCl₃;tungsten(III) chloride;хлорид вольфрама (III)
13470-13-8;WCl4;WCl₄;tungsten(IV) chloride;хлорид вольфрама(IV)
13470-14-9;WCl5;WCl₅;tungsten(V) chloride;хлорид вольфрама(V)
13283-01-7;WCl6;WCl₆;tungsten(VI) chloride;хлорид вольфрама (VI)
13470-17-2;WI2;WI₂;tungsten(II) iodide;иодид вольфрама(II)
14055-84-6;WI4;WI₄;tungsten(IV) iodide;иодид вольфрама(IV)
20213-56-3;WOBr3;WOBr₃;tungsten(V) oxytribromide;окситрибромид вольфрама(V)
13520-77-9;WOBr4;WOBr₄;tungsten(VI) oxytetrabromide;окситетрабромид вольфрама (VI)
14249-98-0;WOCl3;WOCl₃;tungsten(V) oxytrichloride;окситрихлорид вольфрама(V)
13520-78-0;WOCl4;WOCl₄;tungsten(VI) oxytetrachloride;окситетрахлорид вольфрама (VI)
12036-22-5;WO2;WO₂;tungsten(IV) oxide;оксид вольфрама(IV)
13520-75-7;WO2Br2;WO₂Br₂;tungsten(VI) dioxydibromide;диоксидибромид вольфрама (VI)
13520-76-8;WO2Cl2;WO₂Cl₂;tungsten(VI) dioxydichloride;диоксидихлорид вольфрама (VI)
14447-89-3;WO2I2;WO₂I₂;tungsten(VI) dioxydiiodide;диоксидиодид вольфрама (VI)
1314-35-8;WO3;WO₃;tungsten(VI) oxide;оксид вольфрама (VI)
14311-52-5;WO4²⁻;WO₄²⁻;tungstate ion;ион вольфрамата
12138-09-9;WS2;WS₂;tungsten(IV) sulfide;сульфид вольфрама(IV)
12125-19-8;WS3;WS₃;tungsten(VI) sulfide;сульфид вольфрама(VI)
12067-46-8;WSe2;WSe₂;tungsten(IV) selenide;селенид вольфрама(IV)
12067-76-4;WTe2;WTe₂;tungsten(IV) telluride;теллурид вольфрама(IV)
12070-13-2;WC;WC;tungsten carbide;карбид вольфрама
12255-48-0;YAs;YAs;yttrium arsenide;арсенид иттрия
12008-32-1;YB6;YB₆;yttrium boride;борид иттрия
13469-98-2;YBr3;YBr₃;yttrium bromide;бромид иттрия
12071-35-1;YC2;YC₂;yttrium carbide;карбид иттрия
10361-92-9;YCl3;YCl₃;yttrium chloride;хлорид иттрия
12294-01-8;YP;YP;yttrium phosphide;фосфид иттрия
12186-97-9;YSb;YSb;yttrium antimonide;антимонид иттрия
13566-12-6;YVO4;YVO₄;yttrium vanadate;ванадат иттрия
1314-36-9;Y2O3;Y₂O₃;yttria;иттрия
12039-19-9;Y2S3;Y₂S₃;yttrium sulfide;сульфид иттрия
25502-05-0;YbBr2;YbBr₂;ytterbium(II) bromide;иттербия (II) бромид
13759-89-2;YbBr3;YbBr₃;ytterbium(III) bromide;иттербия (III) бромид
13874-77-6;YbCl2;YbCl₂;ytterbium(II)chloride;хлорид иттербия (II)
10361-91-8;YbCl3;YbCl₃;ytterbium(III) chloride;хлорид иттербия (III)
19423-87-1;YbCl3_6H2O;YbCl₃_₆H₂O;ytterbium(III) chloride hexahydrate;гексагидрат хлорида иттербия (III)
15192-18-4;YbF2;YbF₂;ytterbium(II) fluoride;фторид иттербия (II)
19357-86-9;YbI2;YbI₂;ytterbium(II) iodide;иодид иттербия (II)
13813-44-0;YbI3;YbI₃;ytterbium(III) iodide;иодид иттербия (III)
12039-54-2;YbSe;YbSe;ytterbium(II) selenide;селенид иттербия (II)
12039-89-3;YbSi2;YbSi₂;ytterbium(II) silicide;силицид иттербия (II)
1314-37-0;Yb2O3;Yb₂O₃;ytterbium(III) oxide;оксид иттербия (III)
12039-20-2;Yb2S3;Yb₂S₃;ytterbium(III) sulfide;сульфид иттербия (III)
12166-52-8;Yb2Se3;Yb₂Se₃;ytterbium(III) selenide;селенид иттербия (III)
12125-58-5;YbTe;YbTe;ytterbium(II) telluride;теллурид иттербия (II)
10101-52-7;ZrSiO4;ZrSiO₄;zirconium(IV) silicate;силикат циркония (IV)
12039-90-6;ZrSi2;ZrSi₂;zirconium silicide;силицид циркония
12039-15-5;ZrS2;ZrS₂;zirconium sulfide;сульфид циркония
12037-80-8;ZrP2;ZrP₂;zirconium phosphide;фосфид циркония
1314-23-4;ZrO2;ZrO₂;zirconium dioxide;диоксид циркония
25658-42-8;ZrN;ZrN;zirconium nitride;нитрид циркония
13986-26-0;ZrI4;ZrI₄;zirconium iodide;йодид циркония
10026-11-6;ZrCl4;ZrCl₄;zirconium tetrachloride;тетрахлорид циркония
12020-14-3;ZrC;ZrC;zirconium carbide;карбид циркония
13777-25-8;ZrBr4;ZrBr₄;zirconium bromide;бромид циркония
12045-64-6;ZrB2;ZrB₂;zirconium boride;борид циркония
13765-95-2;Zr3(PO4)4;Zr₃(PO₄)₄;zirconium phosphate;фосфат циркония
14644-61-2;Zr(SO4)2;Zr(SO₄)₂;zirconium(IV) sulfate;сульфат циркония (IV)
14475-63-9;Zr(OH)4;Zr(OH)₄;zirconium hydroxide;гидроксид циркония
1315-11-3;ZnTe;ZnTe;zinc telluride;теллурид цинка
7733-02-0;ZnSO4;ZnSO₄;zinc sulfate;сульфат цинка
12036-37-2;ZnSnO3;ZnSnO₃;zinc stannate;станнат цинка
13597-46-1;ZnSeO3;ZnSeO₃;zinc selenite;селенит цинка
1315-09-9;ZnSe;ZnSe;zinc selenide;селенид цинка
12039-35-9;ZnSb;ZnSb;zinc antimonide;антимонид цинка
1314-98-3;ZnS;ZnS;zinc sulfide;сульфид цинка
1314-22-3;ZnO2;ZnO₂;zinc peroxide;перекись цинка
1314-13-2;ZnO;ZnO;zinc(II) oxide;оксид цинка (II)
10139-47-6;ZnI2;ZnI₂;zinc iodide;йодид цинка
7783-49-5;ZnF2;ZnF₂;zinc fluoride;фторид цинка
12018-19-8;ZnCr2O4;ZnCr₂O₄;zinc chromite;хромит цинка
3486-35-9;ZnCO3;ZnCO₃;zinc carbonate;карбонат цинка
7646-85-7;ZnCl2;ZnCl₂;zinc chloride;хлорид цинка
7699-45-8;ZnBr2;ZnBr₂;zinc bromide;бромид цинка
1314-84-7;Zn3P2;Zn₃P₂;zinc phosphide;фосфид цинка
1313-49-1;Zn3N2;Zn₃N₂;zinc nitride;нитрид цинка
12006-40-5;Zn3As2;Zn₃As₂;zinc arsenide;арсенид цинка
7779-90-0;Zn3(PO4)2;Zn₃(PO₄)₂;zinc phosphate;фосфат цинка
13464-44-3;Zn3(AsO4)2;Zn₃(AsO₄)₂;zinc arsenate;арсенат цинка
13597-65-4;Zn2SiO4;Zn₂SiO₄;zinc orthosilicate;ортосиликат цинка
7446-26-6;Zn2P2O7;Zn₂P₂O₇;zinc pyrophosphate;пирофосфат цинка
557-42-6;Zn(SCN)2;Zn(SCN)₂;zinc thiocyanate;тиоцианат цинка
20427-58-1;Zn(OH)2;Zn(OH)₂;zinc hydroxide;гидроксид цинка
7779-88-6;Zn(NO3)2;Zn(NO₃)₂;zinc nitrate;нитрат цинка
10102-02-0;Zn(NO2)2;Zn(NO₂)₂;zinc nitrite;нитрит цинка
7790-37-6;Zn(IO3)2;Zn(IO₃)₂;zinc iodate;йодат цинка
557-21-1;Zn(CN)2;Zn(CN)₂;zinc cyanide;цианид цинка
10361-95-2;Zn(ClO3)2;Zn(ClO₃)₂;zinc chlorate;хлорат цинка
557-09-5;Zn(C8H15O2)2;Zn(C₈H₁₅O₂)₂;zinc caprylate;каприлат цинка
10326-24-6;Zn(AsO2)2;Zn(AsO₂)₂;zinc arsenite;арсенит цинка
68186-87-8;Zn(AlO2)2;Zn(AlO₂)₂;zinc aluminate;алюминат цинка
